,p,comp,diameter,avg_short_path,density,avg_clustering
9363,0.5800000000000001,1,2,1.4231974921630095,0.5768025078369906,0.5788564640084128
9364,0.59,1,2,1.4051724137931034,0.5948275862068966,0.5968846614854549
9365,0.6,1,2,1.3975966562173459,0.6024033437826541,0.6018499760050686
9366,0.61,1,2,1.3816614420062696,0.6183385579937304,0.6197385188600651
9367,0.62,1,2,1.3706896551724137,0.6293103448275862,0.6286811654955214
9368,0.63,1,2,1.3691222570532915,0.6308777429467085,0.630891209304378
9369,0.64,1,2,1.353448275862069,0.646551724137931,0.6468402631245037
9370,0.65,1,2,1.3521421107628004,0.6478578892371996,0.6482176149422437
9371,0.66,1,2,1.34717868338558,0.6528213166144201,0.6517215911235656
9372,0.67,1,2,1.3385579937304075,0.6614420062695925,0.6608064930305935
9373,0.68,1,2,1.3315047021943573,0.6684952978056427,0.6691913686733243
9374,0.6900000000000001,1,2,1.312957157784744,0.687042842215256,0.6865395969601495
9375,0.7000000000000001,1,2,1.2873563218390804,0.7126436781609196,0.7141727287054582
9376,0.7100000000000001,1,2,1.2850052246603971,0.7149947753396029,0.7146280961672254
9377,0.72,1,2,1.2891849529780564,0.7108150470219435,0.7112781175199232
9378,0.73,1,2,1.2667189132706373,0.7332810867293625,0.733341124930389
9379,0.74,1,2,1.2625391849529781,0.737460815047022,0.7370010879337051
9380,0.75,1,2,1.2594043887147335,0.7405956112852664,0.7406009390116601
9381,0.76,1,2,1.2390282131661443,0.7609717868338558,0.7614957312574258
9382,0.77,1,2,1.227533960292581,0.772466039707419,0.7741655402234201
9383,0.78,1,2,1.2233542319749215,0.7766457680250783,0.776729699258803
9384,0.79,1,2,1.2061128526645768,0.7938871473354232,0.7941037642423272
9385,0.8,1,2,1.188871473354232,0.8111285266457681,0.8114906309627868
9386,0.81,1,2,1.1964472309299896,0.8035527690700105,0.8034483152649088
9387,0.8200000000000001,1,2,1.1721525600835945,0.8278474399164054,0.8281022590339912
9388,0.8300000000000001,1,2,1.1810344827586208,0.8189655172413793,0.820226185574609
9389,0.8400000000000001,1,2,1.1575235109717867,0.8424764890282131,0.842986027918715
9390,0.85,1,2,1.1426332288401253,0.8573667711598746,0.8580949525829404
9391,0.86,1,2,1.142894461859979,0.8571055381400209,0.8567761450478794
9392,0.87,1,2,1.1329676071055381,0.8670323928944619,0.8674689669739433
9393,0.88,1,2,1.121212121212121,0.8787878787878788,0.8790409043988601
9394,0.89,1,2,1.1118077324973876,0.8881922675026124,0.8884604332319654
9395,0.9,1,2,1.1068443051201673,0.8931556948798328,0.8929928913603827
9396,0.91,1,2,1.0966562173458725,0.9033437826541275,0.9028119425519368
9397,0.92,1,2,1.0768025078369905,0.9231974921630094,0.923362629728164
9398,0.93,1,2,1.06478578892372,0.93521421107628,0.9347151071403392
9399,0.9400000000000001,1,2,1.0595611285266457,0.9404388714733543,0.9406917863551534
9400,0.9500000000000001,1,2,1.0410135841170325,0.9589864158829676,0.9589914072271347
9401,0.9600000000000001,1,2,1.0381400208986415,0.9618599791013585,0.9617604091230603
9402,0.97,1,2,1.0282131661442007,0.9717868338557993,0.971877446184551
9403,0.98,1,2,1.0182863113897596,0.9817136886102403,0.9817153299511674
9404,0.99,1,2,1.0083594566353187,0.9916405433646813,0.9916653113796692
9405,0.01,55,0,0.0,0.008620689655172414,0.0
9406,0.02,13,0,0.0,0.023772204806687566,0.005681818181818182
9407,0.03,8,0,0.0,0.028735632183908046,0.008982683982683981
9408,0.04,5,0,0.0,0.03657262277951933,0.027813852813852815
9409,0.05,2,0,0.0,0.04885057471264368,0.08367604617604618
9410,0.060000000000000005,1,5,2.8121734587251828,0.061128526645768025,0.04497163190345008
9411,0.06999999999999999,1,5,2.6530825496342736,0.06896551724137931,0.07332169093532728
9412,0.08,1,4,2.4887669801462904,0.07993730407523511,0.07263065217610669
9413,0.09,2,0,0.0,0.0851619644723093,0.08072687302299601
9414,0.09999999999999999,1,4,2.2776907001044933,0.101619644723093,0.1140089708271526
9415,0.11,1,4,2.1648380355276906,0.1152037617554859,0.1151984063915882
9416,0.12,1,4,2.144984326018809,0.11990595611285267,0.13750561570977407
9417,0.13,1,3,2.0420585161964473,0.13375130616509928,0.1492117693655126
9418,0.14,1,3,2.043103448275862,0.13427377220480669,0.13374571657272888
9419,0.15000000000000002,1,3,1.9788401253918495,0.14864158829676072,0.15143188399878232
9420,0.16,1,3,1.9420062695924765,0.15543364681295715,0.14845723748059797
9421,0.17,1,3,1.9009926854754442,0.16849529780564262,0.17383913353550914
9422,0.18000000000000002,1,3,1.8780041797283176,0.17998955067920586,0.17717080274668615
9423,0.19,1,3,1.828369905956113,0.1980146290491118,0.19254224959637706
9424,0.2,1,3,1.8341170323928944,0.1972309299895507,0.19849724254104653
9425,0.21000000000000002,1,3,1.7954545454545454,0.21525600835945663,0.21221281388913663
9426,0.22,1,3,1.7818704284221525,0.22596656217345873,0.23101547692919502
9427,0.23,1,3,1.7803030303030303,0.2277951933124347,0.21867243515838505
9428,0.24000000000000002,1,3,1.7771682340647859,0.22857889237199583,0.22372161818174433
9429,0.25,1,3,1.7560083594566354,0.24660397074190177,0.2337042716982178
9430,0.26,1,3,1.7345872518286312,0.2664576802507837,0.2631438445416597
